,carat,cut,color,clarity,depth,table,price,'x','y','z'
2626,0.72,b'Ideal',b'F',b'VS2',61.1,56.0,3226.0,5.92,5.8,3.55
20294,1.6,b'Ideal',b'H',b'VS2',61.2,57.0,8709.0,7.57,7.5,4.61
9550,1.0,b'Premium',b'E',b'SI2',61.7,58.0,4620.0,6.34,6.39,3.93
31654,0.35,b'Premium',b'E',b'VS2',59.5,58.0,767.0,4.59,4.62,2.74
49639,0.32,b'Premium',b'G',b'SI2',62.7,58.0,540.0,4.39,4.35,2.74
40234,0.53,b'Very Good',b'J',b'VS2',62.4,58.0,1124.0,5.15,5.24,3.24
18492,1.1,b'Ideal',b'G',b'VS1',61.9,55.0,7528.0,6.59,6.63,4.09
10043,0.31,b'Ideal',b'J',b'SI1',61.3,56.0,418.0,4.37,4.4,2.69
16804,1.0,b'Premium',b'G',b'VVS2',62.5,60.0,6702.0,6.43,6.34,3.99
12132,1.08,b'Premium',b'H',b'SI1',62.6,58.0,5171.0,6.56,6.53,4.1
5150,0.76,b'Premium',b'E',b'VVS2',60.6,59.0,3767.0,5.94,5.85,3.57
26006,2.12,b'Premium',b'I',b'SI2',60.6,59.0,15235.0,8.3,8.27,5.02
33627,0.33,b'Premium',b'E',b'SI2',59.7,58.0,463.0,4.48,4.53,2.69
6395,1.0,b'Very Good',b'F',b'SI2',62.9,59.0,4037.0,6.27,6.38,3.98
33780,0.32,b'Ideal',b'G',b'VVS1',61.9,56.0,842.0,4.39,4.4,2.72
25328,1.51,b'Very Good',b'G',b'VS1',59.5,59.0,14028.0,7.41,7.45,4.42
25164,1.7,b'Premium',b'G',b'SI1',62.5,61.0,13737.0,7.54,7.47,4.69
39920,0.41,b'Ideal',b'D',b'VVS2',62.5,57.0,1105.0,4.72,4.75,2.96
18941,1.21,b'Good',b'F',b'VS2',63.5,55.0,7786.0,6.71,6.77,4.28
22497,1.71,b'Premium',b'H',b'SI2',62.3,58.0,10534.0,7.66,7.62,4.76
25435,2.35,b'Premium',b'I',b'SI1',61.8,58.0,14185.0,8.58,8.44,5.26
34536,0.33,b'Ideal',b'E',b'VVS2',61.7,57.0,868.0,4.41,4.44,2.73
7341,0.91,b'Good',b'E',b'SI1',63.5,57.0,4211.0,6.07,6.11,3.87
43892,0.3,b'Ideal',b'D',b'SI1',61.8,56.0,508.0,4.31,4.33,2.67
2405,0.74,b'Ideal',b'H',b'VS2',62.2,55.0,3178.0,5.83,5.81,3.62
38267,0.26,b'Very Good',b'E',b'SI1',62.0,54.0,384.0,4.08,4.11,2.54
51973,0.24,b'Very Good',b'F',b'VVS2',60.9,55.0,547.0,4.07,4.08,2.48
46447,0.56,b'Ideal',b'E',b'VS1',61.6,56.0,1773.0,5.26,5.32,3.26
39980,0.41,b'Premium',b'I',b'VVS1',62.0,56.0,1107.0,4.77,4.75,2.95
8211,0.9,b'Good',b'F',b'VS2',63.1,57.0,4370.0,6.13,6.16,3.88
46254,0.54,b'Very Good',b'G',b'VS1',61.6,56.0,1754.0,5.23,5.26,3.23
18876,1.72,b'Good',b'J',b'SI2',63.2,57.0,7741.0,7.56,7.6,4.79
25840,1.51,b'Ideal',b'E',b'VS2',61.2,57.0,14889.0,7.37,7.47,4.54
43505,0.43,b'Ideal',b'F',b'VVS1',61.0,56.0,1422.0,4.9,4.87,2.98
9049,0.35,b'Good',b'E',b'SI2',64.0,55.0,588.0,4.49,4.45,2.86
26495,2.06,b'Premium',b'H',b'SI2',60.0,60.0,16098.0,6.29,6.25,4.96
52940,0.7,b'Premium',b'E',b'SI1',61.7,62.0,2592.0,5.68,5.64,3.49
40451,0.76,b'Fair',b'H',b'I1',64.5,57.0,1140.0,5.79,5.76,3.73
15559,1.02,b'Premium',b'F',b'VS1',61.4,59.0,6238.0,6.48,6.42,3.96
10353,0.91,b'Fair',b'E',b'VS1',64.5,58.0,4770.0,6.14,6.1,3.95
2414,0.87,b'Very Good',b'H',b'SI1',62.2,57.0,3180.0,6.05,6.11,3.78
2262,0.92,b'Good',b'E',b'SI2',62.0,64.0,3153.0,6.2,6.16,3.83
36088,0.44,b'Premium',b'I',b'VVS1',61.5,58.0,926.0,4.87,4.95,3.02
47294,0.3,b'Good',b'I',b'SI1',63.3,59.0,394.0,4.23,4.3,2.7
21659,1.21,b'Premium',b'G',b'VVS2',62.5,55.0,9757.0,6.84,6.8,4.26
12531,1.03,b'Very Good',b'H',b'VS2',62.0,58.0,5266.0,6.45,6.51,4.02
10152,1.1,b'Ideal',b'H',b'SI2',63.1,58.0,4725.0,6.54,6.53,4.12
46861,0.53,b'Premium',b'G',b'VS1',60.1,58.0,1813.0,5.32,5.27,3.18
19852,1.22,b'Ideal',b'H',b'VS1',61.9,54.0,8411.0,6.88,6.9,4.26
21790,1.05,b'Premium',b'E',b'VVS2',59.6,60.0,9858.0,6.61,6.58,3.93
41164,0.38,b'Ideal',b'F',b'VVS1',62.2,57.0,1200.0,4.64,4.68,2.9
24769,1.58,b'Premium',b'G',b'VS2',62.6,59.0,13132.0,7.47,7.44,4.67
14958,1.21,b'Ideal',b'H',b'SI1',62.6,53.0,6025.0,6.87,6.8,4.28
43087,0.51,b'Premium',b'E',b'SI1',62.4,59.0,1381.0,5.07,5.12,3.18
25393,1.26,b'Very Good',b'F',b'IF',60.0,60.0,14095.0,7.04,7.09,4.24
38323,0.4,b'Ideal',b'E',b'VS2',61.9,54.0,1020.0,4.74,4.73,2.93
17218,1.31,b'Very Good',b'I',b'VS1',62.3,58.0,6885.0,6.99,7.03,4.37
31165,0.41,b'Premium',b'E',b'SI1',60.1,60.0,755.0,4.79,4.83,2.89
2540,0.75,b'Premium',b'E',b'VS2',61.8,58.0,3206.0,5.83,5.85,3.61
52290,0.25,b'Very Good',b'E',b'VVS2',62.2,61.0,548.0,3.98,4.03,2.49
35112,0.3,b'Ideal',b'F',b'IF',62.0,56.0,886.0,4.31,4.33,2.68
35541,0.33,b'Ideal',b'E',b'VVS1',62.2,54.0,906.0,4.46,4.48,2.78
6525,0.9,b'Very Good',b'D',b'SI1',62.4,63.0,4068.0,6.15,6.18,3.85
8544,0.9,b'Premium',b'H',b'VVS2',62.0,58.0,4432.0,6.13,6.16,3.81
11155,1.21,b'Very Good',b'H',b'SI1',63.5,58.0,4944.0,6.73,6.63,4.24
49058,0.7,b'Very Good',b'H',b'SI2',60.7,57.0,2058.0,5.72,5.75,3.48
41697,0.54,b'Premium',b'G',b'SI1',61.1,57.0,1241.0,5.27,5.21,3.2
14047,0.36,b'Premium',b'E',b'SI2',62.4,58.0,605.0,4.56,4.54,2.84
44021,0.51,b'Premium',b'E',b'SI1',60.8,57.0,1546.0,5.24,5.19,3.17
1568,0.91,b'Very Good',b'I',b'SI2',63.4,58.0,3006.0,6.08,6.12,3.87
18943,1.21,b'Very Good',b'G',b'VS2',62.0,58.0,7787.0,6.73,6.82,4.2
24234,2.0,b'Ideal',b'J',b'SI1',62.4,54.0,12433.0,8.02,8.09,5.03
4936,1.11,b'Fair',b'H',b'SI2',64.4,58.0,3730.0,6.55,6.5,4.2
44219,0.57,b'Ideal',b'F',b'SI1',61.6,57.0,1571.0,5.37,5.34,3.3
8513,1.01,b'Very Good',b'F',b'SI2',60.0,55.0,4425.0,6.56,6.53,3.93
39077,0.59,b'Fair',b'H',b'SI2',64.5,57.0,1059.0,5.37,5.16,3.42
23000,1.01,b'Ideal',b'D',b'VVS2',61.1,57.0,11057.0,6.49,6.47,3.96
39348,0.54,b'Ideal',b'H',b'SI2',61.6,56.0,1073.0,5.25,5.28,3.24
2967,0.91,b'Very Good',b'D',b'SI2',62.7,59.0,3298.0,6.16,6.22,3.88
53554,0.58,b'Ideal',b'E',b'VVS2',61.8,57.0,2694.0,5.37,5.4,3.33
6279,0.9,b'Good',b'F',b'SI1',59.3,56.0,4016.0,6.27,6.32,3.73
28118,0.36,b'Ideal',b'D',b'SI1',62.1,56.0,663.0,4.53,4.58,2.83
41499,0.58,b'Premium',b'J',b'VS2',59.5,62.0,1233.0,5.44,5.41,3.23
26744,3.01,b'Ideal',b'J',b'I1',65.4,60.0,16538.0,8.99,8.93,5.86
11644,1.2,b'Good',b'J',b'VS2',63.7,56.0,5053.0,6.67,6.62,4.23
48548,0.74,b'Good',b'H',b'VS2',59.2,64.0,1989.0,5.79,5.66,3.4
30801,0.43,b'Ideal',b'F',b'SI2',60.7,57.0,742.0,4.88,4.91,2.97
11191,1.18,b'Premium',b'I',b'SI1',61.1,59.0,4956.0,6.78,6.73,4.13
15322,1.01,b'Very Good',b'G',b'VS1',62.8,58.0,6152.0,6.34,6.37,3.99
45335,0.51,b'Good',b'E',b'VS2',63.8,55.0,1662.0,5.08,5.05,3.23
1672,0.59,b'Ideal',b'E',b'VVS2',61.8,57.0,3026.0,5.35,5.4,3.32
14600,1.24,b'Premium',b'I',b'VS2',62.1,55.0,5889.0,6.91,6.87,4.28
49261,0.71,b'Very Good',b'F',b'SI1',63.0,56.0,2088.0,5.65,5.72,3.58
2546,0.7,b'Good',b'F',b'VVS1',59.9,62.0,3206.0,5.69,5.74,3.42
49137,0.56,b'Ideal',b'D',b'VS2',62.2,56.0,2066.0,5.28,5.24,3.27
39208,0.54,b'Ideal',b'F',b'SI2',61.8,56.0,1065.0,5.26,5.29,3.26
31240,0.31,b'Ideal',b'F',b'VS2',61.6,55.0,757.0,4.36,4.38,2.69
44347,0.56,b'Ideal',b'E',b'SI1',62.7,57.0,1580.0,5.23,5.27,3.29
24432,2.01,b'Very Good',b'J',b'VS2',62.1,60.0,12683.0,7.88,8.0,4.93
7825,0.9,b'Good',b'G',b'VS2',61.5,61.0,4296.0,6.18,6.21,3.81
49388,0.57,b'Ideal',b'D',b'VS2',61.8,56.0,2103.0,5.34,5.31,3.29
28167,0.32,b'Ideal',b'G',b'VS1',61.6,55.0,665.0,4.43,4.5,2.75
29589,0.43,b'Good',b'F',b'SI1',60.7,61.0,706.0,4.86,4.89,2.96
35972,0.38,b'Very Good',b'D',b'VS1',59.5,61.0,921.0,4.66,4.69,2.78
44061,0.55,b'Ideal',b'E',b'SI1',61.7,57.0,1551.0,5.23,5.27,3.24
22172,1.52,b'Very Good',b'E',b'SI2',63.3,58.0,10214.0,7.31,7.25,4.61
2536,0.9,b'Fair',b'D',b'SI2',65.7,60.0,3205.0,5.98,5.93,3.91
3588,1.0,b'Fair',b'J',b'VS2',65.3,61.0,3422.0,6.33,6.13,4.03
15718,0.3,b'Premium',b'H',b'VS2',61.1,59.0,608.0,4.37,4.3,2.65
22558,1.58,b'Very Good',b'H',b'VS2',61.4,60.0,10608.0,7.49,7.44,4.58
18321,1.54,b'Very Good',b'J',b'SI1',61.2,59.0,7453.0,7.41,7.45,4.55
14452,1.2,b'Very Good',b'H',b'VS2',63.2,55.0,5833.0,6.74,6.67,4.24
549,0.71,b'Very Good',b'E',b'VS2',62.7,59.0,2830.0,5.65,5.7,3.56
18358,1.5,b'Fair',b'D',b'SI2',68.8,57.0,7469.0,6.9,6.86,4.73
36100,0.4,b'Ideal',b'E',b'VVS2',62.5,54.0,926.0,4.75,4.76,2.97
34377,0.41,b'Ideal',b'F',b'VS2',61.4,55.0,863.0,4.78,4.83,2.95
28156,0.3,b'Ideal',b'H',b'VVS1',62.0,56.0,665.0,4.29,4.32,2.67
33829,0.32,b'Ideal',b'E',b'VVS2',61.4,54.0,843.0,4.44,4.45,2.73
22569,1.03,b'Ideal',b'F',b'VVS1',62.1,56.3,10619.0,6.43,6.5,4.02
45969,0.3,b'Very Good',b'E',b'SI1',62.4,58.0,526.0,4.24,4.28,2.66
9659,1.01,b'Good',b'H',b'SI1',60.3,64.0,4642.0,6.53,6.5,3.93
51624,1.05,b'Fair',b'I',b'I1',61.8,66.0,2396.0,6.48,6.37,3.97
16824,1.21,b'Premium',b'H',b'VS2',60.8,58.0,6710.0,6.91,6.88,4.19
40999,0.49,b'Good',b'F',b'VS1',59.5,62.0,1182.0,5.09,5.22,3.06
12871,1.03,b'Premium',b'H',b'VS2',63.0,59.0,5364.0,6.47,6.36,4.04
29643,0.35,b'Very Good',b'H',b'VVS2',62.5,58.0,706.0,4.48,4.51,2.81
13015,1.13,b'Very Good',b'D',b'SI2',62.3,60.0,5408.0,6.59,6.7,4.14
46673,0.59,b'Premium',b'G',b'VS2',61.1,57.0,1789.0,5.43,5.4,3.31
42118,0.5,b'Very Good',b'E',b'SI1',63.0,61.0,1279.0,5.03,5.07,3.18
40219,0.4,b'Ideal',b'G',b'VVS1',62.4,57.0,1123.0,4.74,4.78,2.97
53223,0.5,b'Ideal',b'D',b'VVS2',61.9,55.1,2639.0,5.07,5.1,3.15
4004,0.9,b'Very Good',b'I',b'VS2',63.3,58.0,3519.0,6.07,6.13,3.86
38354,0.33,b'Ideal',b'F',b'VVS1',61.8,57.0,1021.0,4.47,4.43,2.75
45442,0.7,b'Fair',b'J',b'VS2',64.6,58.0,1672.0,5.58,5.56,3.6
48384,0.72,b'Very Good',b'J',b'SI1',63.0,57.0,1966.0,5.69,5.74,3.6
46156,0.5,b'Ideal',b'E',b'VS2',61.3,57.0,1746.0,5.15,5.13,3.15
33096,0.31,b'Ideal',b'F',b'VVS1',62.0,55.0,815.0,4.33,4.35,2.69
24422,1.73,b'Premium',b'I',b'VS1',62.2,59.0,12674.0,7.65,7.62,4.75
25983,2.01,b'Very Good',b'F',b'SI2',61.6,56.0,15188.0,8.17,8.13,5.02
53169,0.71,b'Premium',b'E',b'SI1',61.1,57.0,2629.0,5.73,5.69,3.49
11990,0.91,b'Very Good',b'E',b'VS2',61.1,58.0,5145.0,6.2,6.28,3.81
44381,0.5,b'Ideal',b'F',b'VS2',62.0,56.0,1581.0,5.07,5.11,3.15
38918,0.33,b'Ideal',b'G',b'IF',62.1,56.0,1052.0,4.44,4.41,2.75
38479,0.42,b'Very Good',b'G',b'VVS2',60.4,59.0,1031.0,4.78,4.82,2.9
31176,0.32,b'Ideal',b'D',b'VS1',61.4,56.0,756.0,4.42,4.47,2.73
22866,1.16,b'Ideal',b'D',b'VS2',61.8,55.0,10907.0,6.72,6.75,4.16
40817,0.32,b'Ideal',b'E',b'IF',61.9,56.0,1170.0,4.42,4.4,2.73
19326,1.01,b'Ideal',b'G',b'VVS2',62.2,56.0,8034.0,6.41,6.46,4.0
45791,0.55,b'Ideal',b'F',b'VS2',60.9,56.0,1709.0,5.3,5.34,3.24
345,0.7,b'Very Good',b'D',b'SI1',62.3,58.0,2804.0,5.69,5.73,3.56
48146,0.7,b'Premium',b'J',b'VS2',61.2,60.0,1940.0,5.73,5.7,3.5
38279,0.21,b'Premium',b'D',b'VS2',58.3,59.0,386.0,3.96,3.93,2.3
16334,1.01,b'Ideal',b'F',b'VS2',62.0,56.0,6533.0,6.51,6.46,4.02
14612,0.9,b'Ideal',b'D',b'VS2',63.0,57.0,5897.0,6.14,6.09,3.85
15604,1.38,b'Ideal',b'J',b'SI1',61.8,56.0,6260.0,7.17,7.14,4.42
25248,1.76,b'Premium',b'D',b'SI2',59.6,58.0,13867.0,7.9,7.86,4.7
50550,0.7,b'Ideal',b'I',b'VVS2',62.5,54.0,2276.0,5.69,5.74,3.57
34661,0.31,b'Ideal',b'E',b'VS2',62.0,55.0,872.0,4.35,4.33,2.69
12383,0.35,b'Ideal',b'I',b'VVS2',61.5,55.0,598.0,4.53,4.57,2.8
976,0.82,b'Premium',b'G',b'SI1',59.9,59.0,2893.0,6.09,6.06,3.64
53124,0.82,b'Ideal',b'H',b'SI1',62.4,56.0,2617.0,6.05,6.0,3.76
10312,1.25,b'Ideal',b'J',b'SI1',62.7,57.0,4764.0,6.86,6.88,4.31
9334,1.2,b'Very Good',b'J',b'SI2',61.8,60.0,4580.0,6.76,6.83,4.2
40779,0.35,b'Ideal',b'D',b'VVS1',61.5,57.0,1167.0,4.52,4.55,2.79
8830,0.98,b'Premium',b'E',b'SI2',61.7,61.0,4478.0,6.38,6.34,3.93
29161,0.33,b'Premium',b'E',b'SI1',59.1,59.0,693.0,4.59,4.54,2.7
22470,1.51,b'Premium',b'G',b'SI1',62.2,58.0,10497.0,7.26,7.3,4.53
14442,1.17,b'Premium',b'H',b'SI1',58.5,62.0,5831.0,6.95,6.9,4.05
15113,1.01,b'Very Good',b'F',b'SI1',62.9,57.0,6075.0,6.35,6.4,4.01
6147,0.96,b'Premium',b'D',b'SI2',60.0,60.0,3989.0,6.47,6.43,3.87
44893,0.5,b'Very Good',b'E',b'VS2',63.5,54.0,1629.0,5.08,5.03,3.21
42615,0.36,b'Very Good',b'E',b'SI2',62.6,57.0,505.0,4.5,4.54,2.83
34210,0.33,b'Ideal',b'F',b'VS2',61.6,55.0,854.0,4.48,4.45,2.75
36689,0.39,b'Premium',b'E',b'VS2',60.1,61.0,951.0,4.76,4.72,2.85
38656,0.42,b'Ideal',b'D',b'SI1',61.9,57.0,1040.0,4.82,4.77,2.97
13014,1.2,b'Very Good',b'H',b'SI2',60.2,58.0,5408.0,6.88,6.94,4.16
21049,0.31,b'Ideal',b'H',b'VVS2',62.2,55.0,625.0,4.35,4.36,2.71
18579,1.51,b'Premium',b'I',b'SI2',60.4,56.0,7577.0,7.4,7.36,4.46
3746,0.3,b'Ideal',b'F',b'VS1',61.3,55.0,570.0,4.32,4.36,2.66
27706,0.36,b'Premium',b'I',b'VS2',61.6,58.0,648.0,4.57,4.52,2.8
28237,0.33,b'Very Good',b'F',b'VS2',62.4,57.0,666.0,4.39,4.43,2.75
7688,1.01,b'Premium',b'F',b'SI1',62.7,54.0,4276.0,6.42,6.37,4.01
50004,0.7,b'Premium',b'E',b'SI1',62.4,60.0,2194.0,5.72,5.63,3.54
38817,0.39,b'Ideal',b'I',b'VS1',62.5,54.0,1047.0,4.7,4.67,2.92
24612,2.27,b'Ideal',b'I',b'SI2',60.5,55.0,12939.0,8.63,8.53,5.19
36573,0.5,b'Fair',b'E',b'SI2',64.7,57.0,945.0,4.98,4.88,3.19
49351,0.54,b'Ideal',b'H',b'IF',60.9,57.0,2096.0,5.26,5.31,3.22
53736,0.7,b'Ideal',b'G',b'VS2',62.3,57.0,2723.0,5.66,5.7,3.54
50868,0.71,b'Ideal',b'H',b'SI1',62.1,57.0,2313.0,5.68,5.73,3.54
1755,0.81,b'Ideal',b'I',b'SI1',61.3,56.0,3043.0,6.27,6.23,3.83
44630,0.57,b'Premium',b'E',b'SI1',61.4,58.0,1608.0,5.28,5.34,3.26
17321,1.06,b'Ideal',b'I',b'VVS1',60.2,57.0,6945.0,6.62,6.66,4.0
2501,0.71,b'Ideal',b'E',b'VS1',62.3,56.0,3198.0,5.66,5.7,3.54
6291,0.9,b'Very Good',b'H',b'VS1',62.5,56.0,4021.0,6.13,6.19,3.85
49090,0.71,b'Very Good',b'J',b'VS1',63.3,57.0,2062.0,5.59,5.69,3.57
27950,0.3,b'Very Good',b'G',b'SI1',61.0,58.0,432.0,4.3,4.32,2.63
32477,0.33,b'Very Good',b'H',b'IF',61.7,55.0,795.0,4.45,4.48,2.75
3575,0.78,b'Very Good',b'E',b'VS1',60.9,57.0,3420.0,5.94,5.88,3.59
51456,0.73,b'Ideal',b'G',b'SI2',61.1,57.0,2376.0,5.8,5.82,3.55
23788,1.36,b'Ideal',b'G',b'VVS2',61.1,57.0,11848.0,7.14,7.2,4.38
19133,1.23,b'Ideal',b'H',b'VS2',62.8,56.0,7900.0,6.76,6.84,4.27
45705,0.56,b'Ideal',b'G',b'VS2',62.1,56.0,1698.0,5.31,5.29,3.29
41477,0.41,b'Premium',b'E',b'VVS2',60.9,56.0,1231.0,4.84,4.78,2.93
30910,0.34,b'Ideal',b'E',b'VS2',62.5,55.0,745.0,4.46,4.5,2.8
12821,1.21,b'Very Good',b'I',b'SI1',62.8,57.0,5346.0,6.73,6.8,4.25
50182,0.64,b'Good',b'F',b'VS1',57.7,61.0,2222.0,5.68,5.75,3.29
29985,0.32,b'Ideal',b'E',b'VS2',61.5,56.0,716.0,4.43,4.45,2.73
37948,0.28,b'Very Good',b'E',b'VS2',60.4,59.0,487.0,4.22,4.26,2.56
18652,1.53,b'Ideal',b'H',b'SI2',62.5,57.0,7617.0,7.36,7.39,4.61
45982,0.3,b'Good',b'H',b'VS1',63.2,56.0,526.0,4.25,4.29,2.7
10861,1.14,b'Very Good',b'G',b'SI2',62.4,60.0,4875.0,6.6,6.67,4.14
21844,1.2,b'Very Good',b'E',b'VS1',59.4,56.0,9904.0,6.94,7.0,4.14
32072,0.32,b'Good',b'E',b'VS2',57.0,60.0,780.0,4.6,4.53,2.6
21064,1.24,b'Ideal',b'E',b'VS2',62.0,57.0,9240.0,6.87,6.9,4.27
12705,0.26,b'Premium',b'E',b'VVS1',61.7,59.0,599.0,4.1,4.14,2.54
35478,0.39,b'Ideal',b'F',b'VS1',61.6,57.0,902.0,4.7,4.72,2.9
32710,0.31,b'Ideal',b'F',b'VS2',62.3,55.0,802.0,4.37,4.33,2.71
50835,0.7,b'Premium',b'E',b'SI1',62.4,60.0,2310.0,5.72,5.63,3.54
26907,2.01,b'Very Good',b'I',b'VS1',62.9,62.0,16914.0,7.98,8.02,5.03
33131,0.31,b'Ideal',b'H',b'IF',61.8,56.0,816.0,4.36,4.38,2.7
4376,1.13,b'Ideal',b'F',b'I1',62.2,55.0,3607.0,6.68,6.63,4.14
47711,0.51,b'Ideal',b'D',b'SI1',60.7,56.0,1884.0,5.18,5.2,3.15
18076,1.52,b'Fair',b'I',b'VVS2',64.9,56.0,7303.0,7.28,7.21,4.7
48391,0.7,b'Very Good',b'G',b'SI2',58.2,63.0,1966.0,5.82,5.79,3.38
35951,0.3,b'Ideal',b'F',b'SI1',61.9,56.0,475.0,4.29,4.33,2.67
43736,0.51,b'Very Good',b'G',b'VS2',62.7,58.0,1438.0,5.09,5.12,3.2
28623,0.33,b'Ideal',b'H',b'SI2',61.1,57.0,433.0,4.46,4.48,2.73
50111,0.7,b'Very Good',b'G',b'SI1',62.8,58.0,2209.0,5.64,5.69,3.56
51389,0.81,b'Premium',b'E',b'SI2',60.1,59.0,2368.0,6.09,6.03,3.65
11060,0.34,b'Ideal',b'D',b'SI1',60.9,56.0,596.0,4.53,4.56,2.76
46886,0.54,b'Premium',b'F',b'VS2',62.4,55.0,1814.0,5.23,5.19,3.25
48842,0.55,b'Ideal',b'E',b'VS2',62.5,56.0,2030.0,5.26,5.23,3.28
43545,0.51,b'Ideal',b'H',b'VS2',60.1,60.0,1428.0,5.19,5.14,3.1
44707,0.57,b'Ideal',b'E',b'SI1',62.2,57.0,1613.0,5.33,5.31,3.31
50023,0.51,b'Ideal',b'G',b'VVS2',61.8,56.0,2197.0,5.11,5.15,3.16
31451,0.34,b'Ideal',b'G',b'VS2',61.1,55.0,765.0,4.55,4.52,2.77
28712,0.23,b'Premium',b'E',b'VVS2',60.9,60.0,680.0,3.99,3.96,2.42
24991,2.02,b'Fair',b'H',b'SI1',66.3,57.0,13502.0,7.71,7.79,5.14
43631,0.43,b'Premium',b'G',b'IF',61.0,58.0,1433.0,4.82,4.88,2.96
388,0.7,b'Good',b'E',b'SI1',63.5,59.0,2812.0,5.49,5.53,3.5
50209,0.78,b'Very Good',b'I',b'SI1',63.1,56.0,2228.0,5.88,5.82,3.69
27305,2.01,b'Good',b'G',b'SI1',63.9,60.0,17804.0,7.81,7.75,4.97
19143,1.6,b'Very Good',b'I',b'SI2',62.2,59.0,7906.0,7.42,7.46,4.63
41501,0.58,b'Very Good',b'E',b'SI2',63.1,58.0,1234.0,5.29,5.32,3.35
50005,0.71,b'Ideal',b'G',b'SI2',59.5,57.0,2194.0,5.86,5.78,3.46
39995,0.41,b'Ideal',b'F',b'VS2',62.6,57.0,1107.0,4.79,4.76,2.99
13381,0.3,b'Ideal',b'F',b'VS2',62.3,53.5,601.0,4.27,4.32,2.68
14156,1.0,b'Good',b'H',b'VS1',60.1,62.0,5743.0,6.38,6.47,3.86
20834,1.01,b'Very Good',b'G',b'IF',61.1,56.0,9063.0,6.45,6.48,3.95
137,0.71,b'Premium',b'F',b'VS1',61.8,59.0,2765.0,5.69,5.73,3.53
17728,0.3,b'Very Good',b'D',b'SI1',58.8,63.0,614.0,4.35,4.32,2.55
33436,0.32,b'Ideal',b'G',b'VS1',61.2,57.0,828.0,4.43,4.4,2.7
38717,0.41,b'Ideal',b'G',b'VS2',61.4,59.0,1042.0,4.78,4.76,2.93
8018,1.01,b'Premium',b'E',b'SI1',61.7,56.0,4330.0,6.44,6.39,3.96
36012,0.43,b'Very Good',b'E',b'SI1',63.4,56.0,921.0,4.79,4.77,3.03
27880,0.39,b'Ideal',b'H',b'SI1',61.9,55.7,654.0,4.66,4.71,2.9
14699,1.02,b'Very Good',b'F',b'SI1',62.9,56.0,5930.0,6.39,6.43,4.03
4143,0.9,b'Ideal',b'I',b'VS1',62.4,57.0,3545.0,6.17,6.21,3.86
10581,1.01,b'Very Good',b'H',b'VS2',62.2,56.0,4821.0,6.35,6.44,3.98
6958,0.8,b'Ideal',b'G',b'VVS2',62.6,54.0,4146.0,5.9,5.97,3.71
37692,0.35,b'Ideal',b'F',b'VVS1',60.6,56.0,994.0,4.58,4.59,2.78
7293,0.9,b'Very Good',b'E',b'SI1',62.1,59.0,4201.0,6.13,6.17,3.82
19712,1.51,b'Fair',b'F',b'SI2',61.8,66.0,8287.0,7.18,7.16,4.43
8987,1.36,b'Premium',b'G',b'I1',62.1,57.0,4509.0,7.11,7.06,4.4
22018,1.5,b'Ideal',b'H',b'VS1',61.3,55.0,10080.0,7.37,7.34,4.51
29159,0.33,b'Premium',b'H',b'VS1',62.4,60.0,693.0,4.42,4.39,2.75
30739,0.43,b'Premium',b'E',b'SI1',61.5,60.0,739.0,4.78,4.85,2.96
29107,0.34,b'Premium',b'H',b'VS2',60.2,60.0,689.0,4.56,4.51,2.73
48534,0.54,b'Ideal',b'D',b'VS1',61.6,54.0,1987.0,5.24,5.25,3.23
29452,0.3,b'Good',b'E',b'VVS1',61.5,62.0,702.0,4.28,4.34,2.65
15287,1.21,b'Ideal',b'H',b'VS2',63.0,57.0,6134.0,6.73,6.7,4.23
42482,0.59,b'Good',b'F',b'SI1',59.5,62.0,1318.0,5.45,5.5,3.26
26163,2.11,b'Ideal',b'I',b'SI1',61.0,57.0,15486.0,8.37,8.29,5.08
35473,0.39,b'Ideal',b'G',b'VVS2',61.9,56.0,902.0,4.68,4.7,2.9
40837,0.41,b'Good',b'F',b'VVS2',58.6,60.0,1172.0,4.83,4.87,2.84
42052,0.57,b'Very Good',b'J',b'VS1',62.9,57.0,1270.0,5.25,5.28,3.31
47066,0.52,b'Ideal',b'D',b'VS2',62.6,56.0,1822.0,5.11,5.14,3.21
47334,0.23,b'Very Good',b'E',b'VVS1',60.0,59.0,530.0,3.97,4.03,2.4
51554,0.51,b'Premium',b'D',b'VVS2',60.8,60.0,2387.0,5.23,5.14,3.15
819,0.71,b'Ideal',b'E',b'VS2',61.0,55.0,2863.0,5.79,5.75,3.52
46,0.32,b'Very Good',b'H',b'SI2',61.8,55.0,403.0,4.35,4.42,2.71
34027,0.4,b'Very Good',b'E',b'VVS2',63.0,55.0,849.0,4.72,4.74,2.98
37974,0.4,b'Good',b'G',b'VS2',63.8,59.0,1007.0,4.64,4.57,2.94
48453,0.55,b'Premium',b'D',b'VS1',62.0,58.0,1975.0,5.26,5.28,3.27
33265,0.3,b'Ideal',b'E',b'VVS1',62.6,54.0,826.0,4.28,4.31,2.69
37393,0.41,b'Good',b'E',b'VS2',61.1,61.0,982.0,4.77,4.82,2.93
23315,1.5,b'Premium',b'H',b'VS2',61.8,59.0,11360.0,7.3,7.35,4.53
46516,0.53,b'Ideal',b'H',b'VVS1',60.8,56.0,1781.0,5.24,5.26,3.19
